datetime,len_sum,smallest,largest,count_sum,occupied,0xffff,0xbfb8,0x0000,0x0cd0,0x469a,0xab52,0x0e91,0x6493
2021-03-23 00:01:02,2814,85,213,48,0,8,16,16,4,4,0,0,0
2021-03-23 00:02:02,923,85,173,18,0,7,6,5,0,0,0,0,0
2021-03-23 00:03:02,2169,85,173,38,0,7,15,12,0,0,4,0,0
2021-03-23 00:04:02,1914,85,213,36,0,12,13,11,0,0,0,0,0
2021-03-23 00:05:02,1123,85,173,22,0,8,7,7,0,0,0,0,0
2021-03-23 00:06:02,1391,85,173,26,0,7,9,10,0,0,0,0,0
2021-03-23 00:07:02,2384,85,215,40,0,8,16,12,0,0,0,4,0
2021-03-23 00:08:02,1018,85,173,20,0,8,6,6,0,0,0,0,0
2021-03-23 00:09:02,1670,85,173,32,0,10,12,10,0,0,0,0,0
2021-03-23 00:10:02,1681,85,215,30,0,8,7,11,0,0,0,0,4
2021-03-23 00:11:02,2876,85,213,48,0,7,16,17,4,4,0,0,0
2021-03-23 00:12:02,1018,85,173,20,0,8,6,6,0,0,0,0,0
2021-03-23 00:13:02,1949,85,213,34,0,7,13,10,0,0,4,0,0
2021-03-23 00:14:02,1819,85,213,34,0,11,12,11,0,0,0,0,0
2021-03-23 00:15:02,1123,85,173,22,0,8,7,7,0,0,0,0,0
2021-03-23 00:16:02,1123,85,173,22,0,8,7,7,0,0,0,0,0
2021-03-23 00:17:02,2181,85,173,38,0,7,15,12,0,0,0,4,0
2021-03-23 00:18:02,1406,85,173,28,0,12,9,7,0,0,0,0,0
2021-03-23 00:19:02,1837,85,173,34,0,8,13,13,0,0,0,0,0
2021-03-23 00:20:02,1352,85,173,24,0,6,6,9,0,0,0,0,3
2021-03-23 00:21:02,2814,85,213,48,0,8,16,16,4,4,0,0,0
2021-03-23 00:22:02,1018,85,173,20,0,8,6,6,0,0,0,0,0
2021-03-23 00:23:02,2557,85,173,46,0,11,18,13,0,0,4,0,0
2021-03-23 00:24:02,1526,85,213,28,0,8,10,10,0,0,0,0,0
2021-03-23 00:25:02,1028,85,173,20,0,7,6,7,0,0,0,0,0
2021-03-23 00:26:02,1859,85,173,34,0,7,13,13,0,0,0,1,0
2021-03-23 00:27:02,1664,85,215,28,0,7,10,10,0,0,0,1,0
2021-03-23 00:28:02,1406,85,173,28,0,12,9,7,0,0,0,0,0
2021-03-23 00:29:02,2063,85,173,38,0,8,10,15,0,0,0,0,5
2021-03-23 00:30:02,1123,85,173,22,0,8,7,7,0,0,0,0,0
2021-03-23 00:31:02,2715,85,213,46,0,7,16,16,4,3,0,0,0
2021-03-23 00:32:02,1018,85,173,20,0,8,6,6,0,0,0,0,0
2021-03-23 00:33:02,3522,85,213,60,0,12,25,19,0,0,4,0,0
2021-03-23 00:34:02,1028,85,173,20,0,7,6,7,0,0,0,0,0
2021-03-23 00:35:02,1123,85,173,22,0,8,7,7,0,0,0,0,0
2021-03-23 00:36:02,2394,85,215,40,0,7,16,13,0,0,0,4,0
2021-03-23 00:37:02,2611,85,173,50,0,21,17,12,0,0,0,0,0
2021-03-23 00:38:02,2185,85,173,42,0,16,15,11,0,0,0,0,0
2021-03-23 00:39:02,2044,85,215,36,0,8,10,14,0,0,0,0,4
2021-03-23 00:40:02,1028,85,173,20,0,7,6,7,0,0,0,0,0
2021-03-23 00:41:02,2814,85,213,48,0,8,16,16,4,4,0,0,0
2021-03-23 00:42:02,1018,85,173,20,0,8,6,6,0,0,0,0,0
2021-03-23 00:43:02,3055,85,213,54,0,12,22,16,0,0,4,0,0
2021-03-23 00:44:02,1028,85,173,20,0,7,6,7,0,0,0,0,0
2021-03-23 00:45:02,1123,85,173,22,0,8,7,7,0,0,0,0,0
2021-03-23 00:46:02,2639,85,173,46,0,8,19,15,0,0,0,4,0
2021-03-23 00:47:02,838,95,173,16,0,7,4,5,0,0,0,0,0
2021-03-23 00:48:02,1757,85,173,34,0,12,12,10,0,0,0,0,0
2021-03-23 00:49:02,1447,85,173,26,0,7,6,10,0,0,0,0,3
2021-03-23 00:50:02,1123,85,173,22,0,8,7,7,0,0,0,0,0
2021-03-23 00:51:02,2876,85,213,48,0,7,16,17,4,4,0,0,0
2021-03-23 00:52:02,1276,85,173,24,0,8,8,8,0,0,0,0,0
2021-03-23 00:53:02,3171,85,213,54,0,12,22,16,0,0,4,0,0
2021-03-23 00:54:02,1028,85,173,20,0,7,6,7,0,0,0,0,0
2021-03-23 00:55:02,1123,85,173,22,0,8,7,7,0,0,0,0,0
2021-03-23 00:56:02,2505,85,215,42,0,8,17,14,0,0,0,3,0
2021-03-23 00:57:02,923,85,173,18,0,7,5,6,0,0,0,0,0
2021-03-23 00:58:02,1757,85,173,34,0,12,12,10,0,0,0,0,0
2021-03-23 00:59:02,1829,85,173,34,0,8,10,13,0,0,0,0,3
2021-03-23 01:00:02,1028,85,173,20,0,7,6,7,0,0,0,0,0
2021-03-23 01:01:02,2814,85,213,48,0,8,16,16,4,4,0,0,0
2021-03-23 01:02:02,923,85,173,18,0,7,5,6,0,0,0,0,0
2021-03-23 01:03:02,2327,85,213,42,0,12,16,10,0,0,4,0,0
2021-03-23 01:04:02,923,85,173,18,0,7,5,6,0,0,0,0,0
2021-03-23 01:05:02,1086,85,173,20,0,6,6,8,0,0,0,0,0
2021-03-23 01:06:02,2384,85,215,40,0,8,16,12,0,0,0,4,0
2021-03-23 01:07:02,923,85,173,18,0,7,5,6,0,0,0,0,0
2021-03-23 01:08:02,1862,85,173,36,0,12,13,11,0,0,0,0,0
2021-03-23 01:09:02,1586,85,215,28,0,7,6,11,0,0,0,0,4
2021-03-23 01:10:02,1123,85,173,22,0,8,7,7,0,0,0,0,0
2021-03-23 01:11:02,2280,85,213,40,0,8,12,13,3,4,0,0,0
2021-03-23 01:12:02,1276,85,173,24,0,8,8,8,0,0,0,0,0
2021-03-23 01:13:02,2661,85,213,46,0,11,18,13,0,0,4,0,0
2021-03-23 01:14:02,1018,85,173,20,0,8,6,6,0,0,0,0,0
2021-03-23 01:15:02,1018,85,173,20,0,8,6,6,0,0,0,0,0
2021-03-23 01:16:02,2020,85,173,36,0,7,14,11,0,0,0,4,0
2021-03-23 01:17:02,1018,85,173,20,0,8,6,6,0,0,0,0,0
2021-03-23 01:18:02,2120,85,173,40,0,12,15,13,0,0,0,0,0
2021-03-23 01:19:02,1447,85,173,26,0,7,6,10,0,0,0,0,3
2021-03-23 01:20:02,1123,85,173,22,0,8,7,7,0,0,0,0,0
2021-03-23 01:21:02,2824,85,213,48,0,7,16,17,4,4,0,0,0
2021-03-23 01:22:02,933,95,173,18,0,8,5,5,0,0,0,0,0
2021-03-23 01:23:02,3148,85,213,56,0,12,23,17,0,0,4,0,0
2021-03-23 01:24:02,923,85,173,18,0,7,5,6,0,0,0,0,0
2021-03-23 01:25:02,1276,85,173,24,0,8,8,8,0,0,0,0,0
2021-03-23 01:26:02,2305,85,215,38,0,7,15,13,0,0,0,3,0
2021-03-23 01:27:02,1018,85,173,20,0,8,6,6,0,0,0,0,0
2021-03-23 01:28:02,1862,85,173,36,0,12,13,11,0,0,0,0,0
2021-03-23 01:29:02,1617,85,173,30,0,7,6,12,0,0,0,0,5
2021-03-23 01:30:02,1123,85,173,22,0,8,7,7,0,0,0,0,0
2021-03-23 01:31:02,3134,85,213,52,0,7,18,19,4,4,0,0,0
2021-03-23 01:32:02,1018,85,173,20,0,8,6,6,0,0,0,0,0
2021-03-23 01:33:02,2407,85,213,42,0,12,16,12,0,0,2,0,0
2021-03-23 01:34:02,923,85,173,18,0,7,5,6,0,0,0,0,0
2021-03-23 01:35:02,1018,85,173,20,0,8,6,6,0,0,0,0,0
2021-03-23 01:36:02,2730,85,215,44,0,8,18,14,0,0,0,4,0
2021-03-23 01:37:02,923,85,173,18,0,7,5,6,0,0,0,0,0
2021-03-23 01:38:02,2120,85,173,40,0,12,15,13,0,0,0,0,0
2021-03-23 01:39:02,1681,85,215,30,0,8,7,11,0,0,0,0,4
2021-03-23 01:40:02,1662,85,173,32,0,11,11,10,0,0,0,0,0
2021-03-23 01:41:02,4889,85,213,86,0,21,32,24,5,4,0,0,0
2021-03-23 01:42:02,1018,85,173,20,0,8,6,6,0,0,0,0,0
2021-03-23 01:43:02,2867,85,213,50,0,11,20,15,0,0,4,0,0
2021-03-23 01:44:02,1018,85,173,20,0,8,6,6,0,0,0,0,0
2021-03-23 01:45:02,1276,85,173,24,0,8,8,8,0,0,0,0,0
2021-03-23 01:46:02,1754,85,173,32,0,7,12,9,0,0,0,4,0
2021-03-23 01:47:02,1018,85,173,20,0,8,6,6,0,0,0,0,0
2021-03-23 01:48:02,1862,85,173,36,0,12,13,11,0,0,0,0,0
2021-03-23 01:49:02,1447,85,173,26,0,7,6,10,0,0,0,0,3
2021-03-23 01:50:02,1028,85,173,20,0,7,6,7,0,0,0,0,0
2021-03-23 01:51:02,2663,85,213,46,0,8,15,15,4,4,0,0,0
2021-03-23 01:52:02,923,85,173,18,0,7,5,6,0,0,0,0,0
2021-03-23 01:53:02,3326,85,213,56,0,12,23,17,0,0,4,0,0
2021-03-23 01:54:02,923,85,173,18,0,7,6,5,0,0,0,0,0
2021-03-23 01:55:02,923,85,173,18,0,7,5,6,0,0,0,0,0
2021-03-23 01:56:02,2041,85,215,34,0,8,13,11,0,0,0,2,0
2021-03-23 01:57:02,1018,85,173,20,0,8,6,6,0,0,0,0,0
2021-03-23 01:58:02,2025,85,173,38,0,11,14,13,0,0,0,0,0
2021-03-23 01:59:02,1712,85,173,32,0,8,7,12,0,0,0,0,5
2021-03-23 02:00:02,1113,85,173,22,0,7,8,7,0,0,0,0,0
2021-03-23 02:01:02,2296,85,213,40,0,8,12,12,4,4,0,0,0
2021-03-23 02:02:02,923,85,173,18,0,7,5,6,0,0,0,0,0
2021-03-23 02:03:02,3160,85,213,56,0,12,23,17,0,0,4,0,0
2021-03-23 02:04:02,1008,85,173,20,0,7,6,7,0,0,0,0,0
2021-03-23 02:05:02,933,95,173,18,0,8,5,5,0,0,0,0,0
2021-03-23 02:06:02,2289,85,215,38,0,7,15,12,0,0,0,4,0
2021-03-23 02:07:02,1018,85,173,20,0,8,6,6,0,0,0,0,0
2021-03-23 02:08:02,1862,85,173,36,0,12,13,11,0,0,0,0,0
2021-03-23 02:09:02,1681,85,215,30,0,8,7,11,0,0,0,0,4
2021-03-23 02:10:02,1028,85,173,20,0,7,6,7,0,0,0,0,0
2021-03-23 02:11:02,3062,85,213,52,0,8,18,19,3,4,0,0,0
2021-03-23 02:12:02,1018,85,173,20,0,8,6,6,0,0,0,0,0
2021-03-23 02:13:02,2591,85,213,46,0,11,18,12,0,0,5,0,0
2021-03-23 02:14:02,1018,85,173,20,0,8,6,6,0,0,0,0,0
2021-03-23 02:15:02,923,85,173,18,0,7,5,6,0,0,0,0,0
2021-03-23 02:16:02,2449,85,173,42,0,8,17,13,0,0,0,4,0
2021-03-23 02:17:02,1181,85,173,22,0,7,7,8,0,0,0,0,0
2021-03-23 02:18:02,1862,85,173,36,0,12,13,11,0,0,0,0,0
2021-03-23 02:19:02,1542,85,173,28,0,8,7,10,0,0,0,0,3
2021-03-23 02:20:02,1123,85,173,22,0,8,7,7,0,0,0,0,0
2021-03-23 02:21:02,2663,85,213,46,0,7,15,16,4,4,0,0,0
2021-03-23 02:22:02,1406,85,173,28,0,12,9,7,0,0,0,0,0
2021-03-23 02:23:02,2677,85,213,46,0,7,19,16,0,0,4,0,0
2021-03-23 02:24:02,1086,85,173,20,0,6,7,7,0,0,0,0,0
2021-03-23 02:25:02,1659,85,173,30,0,8,11,9,0,0,0,2,0
2021-03-23 02:26:02,1761,85,215,30,0,9,10,10,0,0,0,1,0
2021-03-23 02:27:02,1311,85,173,26,0,11,8,7,0,0,0,0,0
2021-03-23 02:28:02,2063,85,173,38,0,8,10,15,0,0,0,0,5
2021-03-23 02:29:02,933,85,173,18,0,6,6,6,0,0,0,0,0
2021-03-23 02:30:02,1486,85,173,28,0,8,10,10,0,0,0,0,0
2021-03-23 02:31:02,2709,85,213,46,0,9,16,15,4,2,0,0,0
2021-03-23 02:32:02,1311,85,173,26,0,11,8,7,0,0,0,0,0
2021-03-23 02:33:02,3637,85,213,58,0,8,25,21,0,0,4,0,0
2021-03-23 02:34:02,923,85,173,18,0,7,5,6,0,0,0,0,0
2021-03-23 02:35:02,2384,85,215,40,0,8,16,12,0,0,0,4,0
2021-03-23 02:36:02,933,95,173,18,0,8,5,5,0,0,0,0,0
2021-03-23 02:37:02,2025,85,173,38,0,11,14,13,0,0,0,0,0
2021-03-23 02:38:02,1681,85,215,30,0,8,7,11,0,0,0,0,4
2021-03-23 02:39:02,1123,85,173,22,0,8,7,7,0,0,0,0,0
2021-03-23 02:40:02,1028,85,173,20,0,7,6,7,0,0,0,0,0
2021-03-23 02:41:02,2927,85,213,50,0,8,18,17,4,3,0,0,0
2021-03-23 02:42:02,1809,85,213,34,0,12,12,10,0,0,0,0,0
2021-03-23 02:43:02,3166,85,173,56,0,11,24,17,0,0,4,0,0
2021-03-23 02:44:02,2080,85,173,40,0,16,14,10,0,0,0,0,0
2021-03-23 02:45:02,2075,85,173,38,0,12,14,8,0,0,0,4,0
